 INFO 16:21:26,726 [AWT-EventQueue-0] (aPV:174) - [Information (combat)] 66 secondes reportées pour le tour suivant.
 INFO 16:21:28,939 [AWT-EventQueue-0] (aPV:174) - [Information (combat)] Osalpy: -3 PA
 INFO 16:21:28,939 [AWT-EventQueue-0] (aPV:174) - [Information (combat)] Osalpy: -4 PM
 INFO 16:21:29,742 [AWT-EventQueue-0] (aPV:174) - [Information (combat)] 65 secondes reportées pour le tour suivant.
 INFO 16:21:29,848 [AWT-EventQueue-0] (aPV:174) - [Information (combat)] Osalpy: 0 PW (Invocateur animal)
 INFO 16:21:31,256 [AWT-EventQueue-0] (aPV:174) - [Information (combat)] Lumilpy lance le sort Vestige (Critiques)
 INFO 16:21:32,663 [AWT-EventQueue-0] (aPV:174) - [Information (combat)] Blampy: +343 PV (Eau)
 INFO 16:21:32,664 [AWT-EventQueue-0] (aPV:174) - [Information (combat)] Lumilpy: 40 BQ (Altruisme de l'âme)
 INFO 16:21:32,666 [AWT-EventQueue-0] (aPV:174) - [Information (combat)] Lumilpy: 1 PA (Rune générée)
 INFO 16:21:32,667 [AWT-EventQueue-0] (aPV:174) - [Information (combat)] Lumilpy: 10 BQ (Rune générée)
 INFO 16:21:32,668 [AWT-EventQueue-0] (aPV:174) - [Information (combat)] Lumilpy: Abondance (+15 Niv.) (Rune générée)
 INFO 16:21:32,668 [AWT-EventQueue-0] (aPV:174) - [Information (combat)] Lumilpy: 0 BQ (Antithèse)
 INFO 16:21:33,061 [AWT-EventQueue-0] (aPV:174) - [Information (combat)] Lumilpy lance le sort Vestige
 INFO 16:21:34,370 [AWT-EventQueue-0] (aPV:174) - [Information (combat)] Blampy: +330 PV (Eau)
 INFO 16:21:34,372 [AWT-EventQueue-0] (aPV:174) - [Information (combat)] Lumilpy: 40 BQ (Altruisme de l'âme)
 INFO 16:21:34,673 [AWT-EventQueue-0] (aPV:174) - [Information (combat)] Lumilpy: 10 BQ (Génération naturelle)
 INFO 16:21:34,675 [AWT-EventQueue-0] (aPV:174) - [Information (combat)] 64 secondes reportées pour le tour suivant.
 INFO 16:21:35,075 [AWT-EventQueue-0] (aPV:174) - [Information (combat)] Lumilpy: -817 PV (Lumière) (Feu) (Parade !) (Enflammé)
 INFO 16:21:35,679 [AWT-EventQueue-0] (aPV:174) - [Information (combat)] Soeur Zerker lance le sort Châtiment
