 WARN 23:49:54,283 [AWT-EventQueue-0] (cky:29) - The fight with the id 1568189063 has not been found
 INFO 23:49:54,313 [AWT-EventQueue-0] (ciD:117) - NetInFight Added
 INFO 23:49:54,313 [AWT-EventQueue-0] (ciD:117) - NetInFight Added
 INFO 23:49:54,386 [AWT-EventQueue-0] (aXI:47) - CREATION DU COMBAT
 INFO 23:49:54,417 [AWT-EventQueue-0] (faw:1405) - [_FL_] fightId=1568189063 Craqueboule Magmatique breed : 4266 [-1724034217593928] isControlledByAI=true obstacleId : -1 join the fight at {Point3 : (-31, -24, 0)}
 INFO 23:49:54,419 [AWT-EventQueue-0] (faw:1405) - [_FL_] fightId=1568189063 Craqueboule Magmatique breed : 4266 [-1724034217593929] isControlledByAI=true obstacleId : -1 join the fight at {Point3 : (-30, -20, 0)}
 INFO 23:49:54,420 [AWT-EventQueue-0] (faw:1405) - [_FL_] fightId=1568189063 Craqueboule Magmatique breed : 4266 [-1724034217593927] isControlledByAI=true obstacleId : -1 join the fight at {Point3 : (-31, -22, 0)}
 INFO 23:49:54,430 [AWT-EventQueue-0] (faw:1405) - [_FL_] fightId=1568189063 Distipy breed : 9 [11370102] isControlledByAI=false obstacleId : -1 join the fight at {Point3 : (-27, -23, 0)}
 INFO 23:49:54,500 [AWT-EventQueue-0] (aPV:174) - [Information (combat)] Votre combat est verrouillé, ce qui empêche d'autres joueurs de vous rejoindre.
 WARN 23:49:55,096 [AWT-EventQueue-0] (aXm:191) - Unable to find a valid RunningEffectManager to apply effect d'id -5
 WARN 23:49:55,096 [AWT-EventQueue-0] (bvm:58) - Pas de cible sur laquelle appliquer les HMI pour l'effet 310
 WARN 23:49:55,096 [AWT-EventQueue-0] (aXm:191) - Unable to find a valid RunningEffectManager to apply effect d'id 252845
 WARN 23:49:55,096 [AWT-EventQueue-0] (aXm:191) - Unable to find a valid RunningEffectManager to apply effect d'id 253027
 WARN 23:49:55,096 [AWT-EventQueue-0] (aXm:191) - Unable to find a valid RunningEffectManager to apply effect d'id 253028
 INFO 23:49:55,097 [AWT-EventQueue-0] (faw:1405) - [_FL_] fightId=1568189063 Blampy breed : 13 [5547447] isControlledByAI=false obstacleId : -1 join the fight at {Point3 : (0, 0, 0)}
 INFO 23:49:58,212 [AWT-EventQueue-0] (cjr:53) - Unserializing effects for fighter 5547447, byte size : 15776
 INFO 23:49:58,274 [AWT-EventQueue-0] (cjr:53) - Unserializing effects for fighter 11370102, byte size : 17510
 INFO 23:49:58,433 [AWT-EventQueue-0] (aPV:174) - [Information (combat)] Distipy: 30 % Dommages infligés (Insaisissable)
 INFO 23:49:58,439 [AWT-EventQueue-0] (aPV:174) - [Information (combat)] Blampy: Fuyard (+1 Niv.)
 INFO 23:50:00,316 [AWT-EventQueue-0] (aPV:174) - [Information (combat)] Craqueboule Magmatique lance le sort Coup de Boule
 INFO 23:50:00,925 [AWT-EventQueue-0] (aPV:174) - [Information (combat)] Blampy: -0 PV (Eau)
 INFO 23:50:00,927 [AWT-EventQueue-0] (aPV:174) - [Information (combat)] Craqueboule Magmatique: 1 PM
 INFO 23:50:04,245 [AWT-EventQueue-0] (aPV:174) - [Information (combat)] Distipy lance le sort Balise d'alignement
 INFO 23:50:04,942 [AWT-EventQueue-0] (aPV:174) - [Information (combat)] Distipy: Invoque un(e) Balise d'Alignement
 INFO 23:50:04,942 [AWT-EventQueue-0] (eXG:105) - Instanciation d'une nouvelle invocation avec un id de -1724034217589558
 INFO 23:50:04,943 [AWT-EventQueue-0] (faw:1405) - [_FL_] fightId=1568189063 Balise d'Alignement breed : 3798 [-1724034217589558] isControlledByAI=true obstacleId : 5 join the fight at {Point3 : (-30, -22, 0)}
 INFO 23:50:07,455 [AWT-EventQueue-0] (aPV:174) - [Information (combat)] Distipy lance le sort Balise de contact
 INFO 23:50:08,057 [AWT-EventQueue-0] (aPV:174) - [Information (combat)] Distipy: Invoque un(e) Balise de Contact
 INFO 23:50:08,057 [AWT-EventQueue-0] (eXG:105) - Instanciation d'une nouvelle invocation avec un id de -1724034217589467
